product_id,weight,material_handling
1699546,1230,5
1698977,1226,1
1702653,1224,5
1666295,1221,2
1666961,1221,5
1699524,1219,5
1683999,1216,3
1682681,1215,3
1697085,1211,3
1686756,1208,3
1696073,1208,5
1698913,1206,0
1656839,1202,2
1668554,1200,4
1651299,1200,1
1679995,1198,3
1662317,1195,5
1671834,1194,5
1681688,1193,2
1689012,1192,3
1693626,1192,3
1699552,1190,0
1687689,1189,2
1692108,1188,5
1689783,1183,3
1668557,1182,5
1680503,1182,3
1692940,1181,2
1668545,1179,5
1672345,1174,2
1699841,1172,3
1692333,1172,2
1656350,1172,2
1699584,1171,3
1681878,1170,3
1699537,1168,3
1697067,1167,3
1682814,1164,5
1650904,1163,0
1656944,1160,0
1693192,1159,3
1675615,1159,2
1688621,1158,3
1690004,1155,0
1693453,1154,0
1656353,1150,5
1689033,1147,5
1693865,1146,2
1681377,1142,2
1689541,1142,1
1681699,1141,3
1654766,1139,2
1682799,1137,3
1655373,1133,5
1699526,1132,3
1695348,1132,0
1682594,1131,5
1666954,1129,5
1691532,1118,3
1699553,1116,5
1687353,1114,5
1697884,1113,5
1700366,1112,0
1684755,1112,2
1654623,1111,2
1699184,1110,5
1674853,1107,2
1700958,1106,2
1682829,1106,5
1682850,1105,2
1672713,1096,4
1668128,1096,2
1688824,1095,5
1680781,1093,5
1677884,1091,5
1699665,1091,5
1699166,1089,5
1699564,1089,3
1644308,1088,3
1682751,1088,3
1613321,1086,0
1672088,1085,3
1699298,1084,4
1699249,1081,5
1668492,1080,4
1672085,1080,5
1672006,1079,3
1652499,1076,2
1700105,1075,4
1699591,1075,3
1699766,1074,2
1700137,1074,5
1666466,1072,5
1680246,1069,2
1672110,1069,5
1666992,1069,3
1646393,1066,5
1672245,1065,4
1652887,1062,3
1685333,1062,3
1683401,1062,5
1699417,1060,3
1682742,1059,5
1689457,1058,2
1663396,1058,5
1689145,1058,4
1699797,1057,5
1668608,1053,5
1655985,1053,0
1651126,1052,2
1678493,1052,5
1680961,1052,5
1672661,1051,5
1683704,1047,0
1688587,1046,0
1699682,1046,0
1682802,1042,3
1692987,1041,0
1667934,1033,5
1685211,1029,3
1695345,1019,5
1663341,1019,2
1669685,1017,2
1653237,1015,2
1688600,1014,3
1669584,1013,4
1621717,1010,3
1668362,1010,2
1675810,1006,4
1660677,1003,1
1700128,1003,5
1699135,1002,0
1695687,998,2
1690632,998,5
1690634,996,1
1615677,989,3
1700558,983,0
1620552,983,3
1650685,980,2
1635536,977,5
1699378,976,5
1700035,976,4
1678648,975,5
1677692,975,5
1683419,973,4
1692731,971,5
1660579,969,5
1689641,968,4
1699525,965,5
1681701,964,3
1702654,964,3
1699557,963,5
1688633,958,2
1668716,957,5
1653588,949,1
1667927,945,5
1641237,944,4
1671836,944,5
1682784,942,0
1699946,941,5
1696758,939,3
1699770,933,2
1682832,932,4
1699325,932,5
1674120,932,5
1692997,913,0
1677889,904,3
1666957,901,2
1652611,901,3
1700570,900,5
1688629,899,5
1678427,899,5
1700138,897,1
1666470,896,0
1652644,895,2
1699425,893,5
1689780,893,3
1682682,892,5
1672676,892,5
1688678,891,3
1674380,888,4
1700382,885,4
1699690,883,3
1693001,877,2
1696752,876,1
1682679,874,5
1664051,870,5
1685028,865,5
1671426,863,3
1644062,862,5
1645070,861,5
1690327,858,5
1683388,855,2
1621719,855,5
1679638,853,5
1688571,851,0
1652615,850,5
1699353,847,5
1668099,847,3
1671939,847,4
1699844,845,5
1689601,843,3
1662552,843,3
1666441,838,1
1651298,836,5
1682763,835,3
1682736,822,4
1686758,822,5
1662991,821,5
1682754,819,5
1682748,818,1
1657064,813,4
1636236,810,2
1656969,806,0
1699318,805,3
1676563,804,5
1689781,804,5
1700869,799,3
1699561,798,5
1689786,798,3
1699242,796,0
1689549,796,3
1696954,791,5
1699368,783,5
1671248,779,3
1683354,778,5
1678759,775,4
1692948,773,0
1690171,766,5
1661119,766,0
1668496,761,3
1650586,761,0
1681885,756,4
1666524,755,2
1690628,747,3
1666958,747,3
1676942,746,1
1690621,744,5
1681379,744,3
1700557,734,5
1699231,734,3
1656246,727,0
1689147,726,2
1651350,722,2
1696482,720,5
1699424,711,2
1699700,707,0
1660153,702,5
1696654,698,5
1697883,696,4
1683197,690,5
1689556,683,5
1683432,680,3
1699268,677,3
1668344,676,3
1696210,674,4
1657437,674,2
1695139,669,2
1663347,669,0
1682853,668,0
1672344,666,5
1639636,666,3
1697087,665,3
1699576,659,5
1697071,657,2
1673710,649,5
1699834,644,3
1662554,644,3
1672117,638,3
1658528,638,5
1682982,635,4
1700141,634,3
1668550,630,0
1699574,626,3
1668606,620,4
1650905,617,2
1677690,605,3
1690145,602,5
1677877,601,5
1657474,598,5
1683190,595,1
1684559,594,5
1668127,594,5
1699951,593,5
1681890,591,0
1699369,576,3
1692737,572,5
1692955,567,1
1650404,565,4
1696799,561,5
1675746,561,0
1699308,558,4
1666519,555,3
1682341,555,0
1685952,553,3
1664067,550,0
1699691,548,4
1652604,547,4
1702224,545,4
1683200,540,5
1681687,540,2
1688294,538,5
1693117,535,3
1682790,524,2
1672722,512,3
1672986,508,2
1684170,505,4
1684709,505,5
1678652,504,3
1687774,500,4
1678000,493,1
1700097,474,2
1683424,465,3
1685321,463,2
1660885,463,2
1699540,446,3
1699836,445,3
1687384,434,2
1677887,433,5
1699772,431,5
1699416,425,5
1678494,396,5
1699562,386,2
1683633,384,3
1666990,384,5
1699380,382,5
1699949,372,4
1681888,367,0
1692402,364,2
1695138,357,2
1687661,351,5
1700140,338,5
1699694,329,3
1668345,309,5
1700142,303,5
1693700,290,3
1682760,276,5
1667126,274,4
1682730,262,3
1686762,261,2
1650568,258,2
1668607,241,2
1700657,225,3
1680210,216,2
1700362,206,0
1650880,202,4
1693101,192,1
1669702,185,2
1697872,171,5
1682793,162,0
1683403,161,1
1699799,153,3
1699768,139,5
1660578,136,5
