city_from_name,city_to_name,city_from_coord,city_to_coord,distance,weight_class,cost_per_unit,co2_per_unit
Dusseldorf,Venlo,"(51.2254018, 6.7763137)","(51.39244885, 6.1511724144122955)",47.3876,6,70.54,51.18
Dusseldorf,Venlo,"(51.2254018, 6.7763137)","(51.39244885, 6.1511724144122955)",47.3876,7,74.95,54.38
Dusseldorf,Venlo,"(51.2254018, 6.7763137)","(51.39244885, 6.1511724144122955)",47.3876,8,79.36,57.58
Dusseldorf,Venlo,"(51.2254018, 6.7763137)","(51.39244885, 6.1511724144122955)",47.3876,9,83.77,60.77
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,0,343.98,553.02
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,1,378.38,608.32
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,2,412.77,663.62
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,3,447.17,718.93
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,4,481.57,774.23
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,5,515.97,829.53
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,6,550.36,884.83
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,7,584.76,940.13
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,8,619.16,995.44
Dusseldorf,Bratislava,"(51.2254018, 6.7763137)","(48.1516988, 17.1093063)",819.2894,9,653.56,1050.74
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,0,200.47,228.97
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,1,220.52,251.87
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,2,240.56,274.77
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,3,260.61,297.67
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,4,280.66,320.56
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,5,300.71,343.46
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,6,320.75,366.36
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,7,340.8,389.26
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,8,360.85,412.15
Dusseldorf,Hamburg,"(51.2254018, 6.7763137)","(53.550341, 10.000654)",339.2215,9,380.89,435.05
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,0,411.83,759.39
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,1,453.02,835.33
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,2,494.2,911.27
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,3,535.39,987.21
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,4,576.57,1063.15
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,5,617.75,1139.09
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,6,658.94,1215.03
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,7,700.12,1290.97
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,8,741.3,1366.91
Dusseldorf,Rome,"(51.2254018, 6.7763137)","(41.8933203, 12.4829321)",1125.029,9,782.49,1442.85
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,0,171.81,181.63
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,1,188.99,199.79
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,2,206.17,217.95
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,3,223.35,236.11
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,4,240.53,254.28
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,5,257.72,272.44
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,6,274.9,290.6
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,7,292.08,308.77
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,8,309.26,326.93
Dusseldorf,Lille,"(51.2254018, 6.7763137)","(50.6365654, 3.0635282)",269.0769,9,326.44,345.09
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,0,86.84,71.8
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,1,95.52,78.98
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,2,104.21,86.16
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,3,112.89,93.34
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,4,121.57,100.52
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,5,130.26,107.7
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,6,138.94,114.88
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,7,147.62,122.06
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,8,156.31,129.24
Dusseldorf,Liege,"(51.2254018, 6.7763137)","(50.6450944, 5.5736112)",106.3716,9,164.99,136.42
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,0,383.79,669.85
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,1,422.17,736.84
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,2,460.54,803.82
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,3,498.92,870.81
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,4,537.3,937.79
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,5,575.68,1004.78
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,6,614.06,1071.76
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,7,652.44,1138.75
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,8,690.82,1205.73
Dusseldorf,Warsaw,"(51.2254018, 6.7763137)","(52.2337172, 21.071432235636493)",992.3709,9,729.19,1272.72
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,0,227.73,279.19
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,1,250.51,307.11
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,2,273.28,335.03
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,3,296.05,362.95
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,4,318.83,390.87
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,5,341.6,418.79
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,6,364.37,446.71
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,7,387.15,474.63
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,8,409.92,502.55
Dusseldorf,Paris,"(51.2254018, 6.7763137)","(48.8588897, 2.3200410217200766)",413.6191,9,432.69,530.47
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,0,293.37,421.66
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,1,322.71,463.83
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,2,352.05,506
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,3,381.38,548.16
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,4,410.72,590.33
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,5,440.06,632.49
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,6,469.4,674.66
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,7,498.73,716.83
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,8,528.07,758.99
Dusseldorf,Lyon,"(51.2254018, 6.7763137)","(45.7578137, 4.8320114)",624.6864,9,557.41,801.16
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,0,360.25,599.33
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,1,396.28,659.26
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,2,432.3,719.19
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,3,468.33,779.13
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,4,504.35,839.06
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,5,540.38,898.99
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,6,576.4,958.93
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,7,612.43,1018.86
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,8,648.45,1078.79
Dusseldorf,Marseille,"(51.2254018, 6.7763137)","(43.2961743, 5.3699525)",887.8947,9,684.48,1138.72
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,0,362.18,604.94
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,1,398.39,665.43
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,2,434.61,725.93
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,3,470.83,786.42
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,4,507.05,846.92
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,5,543.26,907.41
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,6,579.48,967.9
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,7,615.7,1028.4
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,8,651.92,1088.89
Dusseldorf,Bordeaux,"(51.2254018, 6.7763137)","(44.841225, -0.5800364)",896.2065,9,688.13,1149.38
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,0,304.49,448.9
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,1,334.94,493.79
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,2,365.39,538.68
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,3,395.84,583.57
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,4,426.29,628.46
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,5,456.74,673.35
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,6,487.19,718.24
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,7,517.64,763.13
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,8,548.09,808.02
Dusseldorf,Milan,"(51.2254018, 6.7763137)","(45.4641943, 9.1896346)",665.0376,9,578.54,852.91
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,0,249.12,322.23
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,1,274.04,354.45
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,2,298.95,386.67
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,3,323.86,418.89
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,4,348.77,451.12
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,5,373.68,483.34
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,6,398.6,515.56
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,7,423.51,547.78
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,8,448.42,580.01
Dusseldorf,Berlin,"(51.2254018, 6.7763137)","(52.5170365, 13.3888599)",477.3717,9,473.33,612.23
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,0,473.52,977.55
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,1,520.87,1075.31
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,2,568.22,1173.06
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,3,615.57,1270.82
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,4,662.92,1368.57
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,5,710.28,1466.33
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,6,757.63,1564.08
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,7,804.98,1661.84
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,8,852.33,1759.59
Dusseldorf,Madrid,"(51.2254018, 6.7763137)","(40.4167047, -3.7035825)",1448.2241,9,899.68,1857.35
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,0,331.41,518.61
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,1,364.55,570.47
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,2,397.69,622.33
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,3,430.83,674.19
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,4,463.97,726.05
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,5,497.11,777.91
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,6,530.25,829.77
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,7,563.39,881.63
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,8,596.53,933.49
Dusseldorf,Vienna,"(51.2254018, 6.7763137)","(48.2083537, 16.3725042)",768.3073,9,629.67,985.35
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,0,252.41,329.13
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,1,277.65,362.04
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,2,302.89,394.95
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,3,328.13,427.86
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,4,353.37,460.78
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,5,378.61,493.69
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,6,403.85,526.6
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,7,429.1,559.51
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,8,454.34,592.43
Dusseldorf,Munich,"(51.2254018, 6.7763137)","(48.1371079, 11.5753822)",487.5926,9,479.58,625.34
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,0,130.62,122.92
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,1,143.68,135.21
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,2,156.74,147.5
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,3,169.8,159.79
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,4,182.86,172.09
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,5,195.92,184.38
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,6,208.99,196.67
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,7,222.05,208.96
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,8,235.11,221.25
Dusseldorf,Amsterdam,"(51.2254018, 6.7763137)","(52.3727598, 4.8936041)",182.1019,9,248.17,233.55
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,0,416.79,775.82
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,1,458.46,853.41
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,2,500.14,930.99
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,3,541.82,1008.57
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,4,583.5,1086.15
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,5,625.18,1163.74
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,6,666.86,1241.32
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,7,708.54,1318.9
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,8,750.21,1396.48
Dusseldorf,Stockholm,"(51.2254018, 6.7763137)","(59.3251172, 18.0710935)",1149.3691,9,791.89,1474.07
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,0,294.23,423.74
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,1,323.66,466.12
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,2,353.08,508.49
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,3,382.5,550.86
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,4,411.93,593.24
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,5,441.35,635.61
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,6,470.77,677.99
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,7,500.2,720.36
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,8,529.62,762.73
Dusseldorf,Copenhagen,"(51.2254018, 6.7763137)","(55.6867243, 12.5700724)",627.7653,9,559.04,805.11
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,0,416.79,775.85
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,1,458.47,853.43
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,2,500.15,931.02
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,3,541.83,1008.6
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,4,583.51,1086.19
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,5,625.19,1163.77
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,6,666.87,1241.36
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,7,708.55,1318.94
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,8,750.23,1396.53
Dusseldorf,Barcelona,"(51.2254018, 6.7763137)","(41.3828939, 2.1774322)",1149.4065,9,791.91,1474.11
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,0,33.14,23.24
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,1,36.45,25.56
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,2,39.77,27.89
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,3,43.08,30.21
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,4,46.39,32.54
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,5,49.71,34.86
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,6,53.02,37.18
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,7,56.34,39.51
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,8,59.65,41.83
Dusseldorf,Cologne,"(51.2254018, 6.7763137)","(50.938361, 6.959974)",34.4291,9,62.96,44.16
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,0,561.46,1339.49
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,1,617.6,1473.44
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,2,673.75,1607.39
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,3,729.89,1741.34
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,4,786.04,1875.29
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,5,842.18,2009.24
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,6,898.33,2143.19
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,7,954.47,2277.14
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,8,1010.62,2411.09
Dusseldorf,Athens,"(51.2254018, 6.7763137)","(37.9839412, 23.7283052)",1984.437,9,1066.76,2545.04
Dusseldorf,Bucharest,"(51.2254018, 6.7763137)","(44.4361414, 26.1027202)",1625.1608,0,504.19,1096.98
Dusseldorf,Bucharest,"(51.2254018, 6.7763137)","(44.4361414, 26.1027202)",1625.1608,1,554.61,1206.68
