city_from_name;city_to_name;city_from_coord;city_to_coord;distance
Dusseldorf;Hanover;(51.2254018, 6.7763137);(52.3744779, 9.7385532);241.017
Dusseldorf;Malmö;(51.2254018, 6.7763137);(55.6052931, 13.0001566);638.922
Dusseldorf;Helsinki;(51.2254018, 6.7763137);(60.1674881, 24.9427473);1506.2793
Dusseldorf;Prague;(51.2254018, 6.7763137);(50.0874654, 14.4212535);554.9521
Dusseldorf;Valencia;(51.2254018, 6.7763137);(39.4697065, -0.3763353);1420.0225
Dusseldorf;Bremen;(51.2254018, 6.7763137);(53.0758196, 8.8071646);248.4044
Dusseldorf;Porto;(51.2254018, 6.7763137);(41.1494512, -8.6107884);1626.5104
Zaragoza;Venlo;(41.6521342, -0.8809428);(51.39244885, 6.1511724144122955);1208.4067
Zaragoza;Bratislava;(41.6521342, -0.8809428);(48.1516988, 17.1093063);1588.623
Zaragoza;Hamburg;(41.6521342, -0.8809428);(53.550341, 10.000654);1551.5661
Zaragoza;Rome;(41.6521342, -0.8809428);(41.8933203, 12.4829321);1110.3378
Zaragoza;Lille;(41.6521342, -0.8809428);(50.6365654, 3.0635282);1043.724
Zaragoza;Liege;(41.6521342, -0.8809428);(50.6450944, 5.5736112);1116.0416
Zaragoza;Warsaw;(41.6521342, -0.8809428);(52.2337172, 21.071432235636493);2030.693
Zaragoza;Paris;(41.6521342, -0.8809428);(48.8588897, 2.3200410217200766);839.2165
Zaragoza;Lyon;(41.6521342, -0.8809428);(45.7578137, 4.8320114);647.847
Zaragoza;Marseille;(41.6521342, -0.8809428);(43.2961743, 5.3699525);545.3384
Zaragoza;Bordeaux;(41.6521342, -0.8809428);(44.841225, -0.5800364);355.1412
Zaragoza;Milan;(41.6521342, -0.8809428);(45.4641943, 9.1896346);916.383
Zaragoza;Berlin;(41.6521342, -0.8809428);(52.5170365, 13.3888599);1616.8146
Zaragoza;Madrid;(41.6521342, -0.8809428);(40.4167047, -3.7035825);274.1376
Zaragoza;Vienna;(41.6521342, -0.8809428);(48.2083537, 16.3725042);1539.7663
Zaragoza;Munich;(41.6521342, -0.8809428);(48.1371079, 11.5753822);1217.1632
Zaragoza;Amsterdam;(41.6521342, -0.8809428);(52.3727598, 4.8936041);1269.1074
Zaragoza;Stockholm;(41.6521342, -0.8809428);(59.3251172, 18.0710935);2363.4114
Zaragoza;Copenhagen;(41.6521342, -0.8809428);(55.6867243, 12.5700724);1841.379
Zaragoza;Barcelona;(41.6521342, -0.8809428);(41.3828939, 2.1774322);257.0251
Zaragoza;Cologne;(41.6521342, -0.8809428);(50.938361, 6.959974);1194.4688
Zaragoza;Athens;(41.6521342, -0.8809428);(37.9839412, 23.7283052);2138.3667
Zaragoza;Bucharest;(41.6521342, -0.8809428);(44.4361414, 26.1027202);2210.0925
Zaragoza;Budapest;(41.6521342, -0.8809428);(47.4979937, 19.0403594);1704.3119
Zaragoza;Naples;(41.6521342, -0.8809428);(40.8358846, 14.2487679);1269.832
Zaragoza;Lisbon;(41.6521342, -0.8809428);(38.7077507, -9.1365919);774.9704
Zaragoza;Turin;(41.6521342, -0.8809428);(45.0677551, 7.6824892);790.531
Zaragoza;Hanover;(41.6521342, -0.8809428);(52.3744779, 9.7385532);1436.4563
Zaragoza;Malmö;(41.6521342, -0.8809428);(55.6052931, 13.0001566);1851.0339
Zaragoza;Helsinki;(41.6521342, -0.8809428);(60.1674881, 24.9427473);2710.6631
Zaragoza;Prague;(41.6521342, -0.8809428);(50.0874654, 14.4212535);1508.5357
Zaragoza;Valencia;(41.6521342, -0.8809428);(39.4697065, -0.3763353);246.0864
Zaragoza;Bremen;(41.6521342, -0.8809428);(53.0758196, 8.8071646);1462.8167
Zaragoza;Porto;(41.6521342, -0.8809428);(41.1494512, -8.6107884);648.5823
Venlo;Bratislava;(51.39244885, 6.1511724144122955);(48.1516988, 17.1093063);866.6269
Venlo;Hamburg;(51.39244885, 6.1511724144122955);(53.550341, 10.000654);354.9956
Venlo;Rome;(51.39244885, 6.1511724144122955);(41.8933203, 12.4829321);1160.8464
Venlo;Lille;(51.39244885, 6.1511724144122955);(50.6365654, 3.0635282);232.4003
Venlo;Liege;(51.39244885, 6.1511724144122955);(50.6450944, 5.5736112);92.4928
Venlo;Warsaw;(51.39244885, 6.1511724144122955);(52.2337172, 21.071432235636493);1031.3584
Venlo;Paris;(51.39244885, 6.1511724144122955);(48.8588897, 2.3200410217200766);392.9249
Venlo;Lyon;(51.39244885, 6.1511724144122955);(45.7578137, 4.8320114);634.0662
Venlo;Marseille;(51.39244885, 6.1511724144122955);(43.2961743, 5.3699525);902.042
Venlo;Bordeaux;(51.39244885, 6.1511724144122955);(44.841225, -0.5800364);883.3809
Venlo;Milan;(51.39244885, 6.1511724144122955);(45.4641943, 9.1896346);696.3485
Venlo;Berlin;(51.39244885, 6.1511724144122955);(52.5170365, 13.3888599);512.8188
Venlo;Madrid;(51.39244885, 6.1511724144122955);(40.4167047, -3.7035825);1436.9241
Venlo;Vienna;(51.39244885, 6.1511724144122955);(48.2083537, 16.3725042);815.6854
Venlo;Munich;(51.39244885, 6.1511724144122955);(48.1371079, 11.5753822);532.4769
Venlo;Amsterdam;(51.39244885, 6.1511724144122955);(52.3727598, 4.8936041);139.2635
Venlo;Stockholm;(51.39244885, 6.1511724144122955);(59.3251172, 18.0710935);1159.0472
Venlo;Copenhagen;(51.39244885, 6.1511724144122955);(55.6867243, 12.5700724);639.4113
Venlo;Barcelona;(51.39244885, 6.1511724144122955);(41.3828939, 2.1774322);1153.4178
Venlo;Cologne;(51.39244885, 6.1511724144122955);(50.938361, 6.959974);75.8455
Venlo;Athens;(51.39244885, 6.1511724144122955);(37.9839412, 23.7283052);2029.5726
Venlo;Bucharest;(51.39244885, 6.1511724144122955);(44.4361414, 26.1027202);1672.4754
Venlo;Budapest;(51.39244885, 6.1511724144122955);(47.4979937, 19.0403594);1028.3023
Venlo;Naples;(51.39244885, 6.1511724144122955);(40.8358846, 14.2487679);1328.0246
Venlo;Lisbon;(51.39244885, 6.1511724144122955);(38.7077507, -9.1365919);1846.475
Venlo;Turin;(51.39244885, 6.1511724144122955);(45.0677551, 7.6824892);712.3703
Venlo;Hanover;(51.39244885, 6.1511724144122955);(52.3744779, 9.7385532);270.062
Venlo;Malmö;(51.39244885, 6.1511724144122955);(55.6052931, 13.0001566);652.4192
Venlo;Helsinki;(51.39244885, 6.1511724144122955);(60.1674881, 24.9427473);1521.8218
Venlo;Prague;(51.39244885, 6.1511724144122955);(50.0874654, 14.4212535);601.1965
Venlo;Valencia;(51.39244885, 6.1511724144122955);(39.4697065, -0.3763353);1418.7254
Venlo;Bremen;(51.39244885, 6.1511724144122955);(53.0758196, 8.8071646);260.756
Venlo;Porto;(51.39244885, 6.1511724144122955);(41.1494512, -8.6107884);1603.9511
Bratislava;Hamburg;(48.1516988, 17.1093063);(53.550341, 10.000654);781.0735
Bratislava;Rome;(48.1516988, 17.1093063);(41.8933203, 12.4829321);784.9334
Bratislava;Lille;(48.1516988, 17.1093063);(50.6365654, 3.0635282);1054.5937
Bratislava;Liege;(48.1516988, 17.1093063);(50.6450944, 5.5736112);880.9654
Bratislava;Warsaw;(48.1516988, 17.1093063);(52.2337172, 21.071432235636493);534.804
Bratislava;Paris;(48.1516988, 17.1093063);(48.8588897, 2.3200410217200766);1093.9242
Bratislava;Lyon;(48.1516988, 17.1093063);(45.7578137, 4.8320114);970.4925
Bratislava;Marseille;(48.1516988, 17.1093063);(43.2961743, 5.3699525);1059.6431
Bratislava;Bordeaux;(48.1516988, 17.1093063);(44.841225, -0.5800364);1403.4051
Bratislava;Milan;(48.1516988, 17.1093063);(45.4641943, 9.1896346);673.8443
Bratislava;Berlin;(48.1516988, 17.1093063);(52.5170365, 13.3888599);552.9516
Bratislava;Madrid;(48.1516988, 17.1093063);(40.4167047, -3.7035825);1862.1797
Bratislava;Vienna;(48.1516988, 17.1093063);(48.2083537, 16.3725042);55.1533
Bratislava;Munich;(48.1516988, 17.1093063);(48.1371079, 11.5753822);411.7316
Bratislava;Amsterdam;(48.1516988, 17.1093063);(52.3727598, 4.8936041);987.7402
Bratislava;Stockholm;(48.1516988, 17.1093063);(59.3251172, 18.0710935);1245.1757
Bratislava;Copenhagen;(48.1516988, 17.1093063);(55.6867243, 12.5700724);894.1859
Bratislava;Barcelona;(48.1516988, 17.1093063);(41.3828939, 2.1774322);1397.414
Bratislava;Cologne;(48.1516988, 17.1093063);(50.938361, 6.959974);796.365
Bratislava;Athens;(48.1516988, 17.1093063);(37.9839412, 23.7283052);1250.4735
Bratislava;Bucharest;(48.1516988, 17.1093063);(44.4361414, 26.1027202);805.9377
Bratislava;Budapest;(48.1516988, 17.1093063);(47.4979937, 19.0403594);161.8264
Bratislava;Naples;(48.1516988, 17.1093063);(40.8358846, 14.2487679);844.0198
Bratislava;Lisbon;(48.1516988, 17.1093063);(38.7077507, -9.1365919);2354.0837
Bratislava;Turin;(48.1516988, 17.1093063);(45.0677551, 7.6824892);798.6767
Bratislava;Hanover;(48.1516988, 17.1093063);(52.3744779, 9.7385532);704.2409
Bratislava;Malmö;(48.1516988, 17.1093063);(55.6052931, 13.0001566);875.8775
Bratislava;Helsinki;(48.1516988, 17.1093063);(60.1674881, 24.9427473);1429.6227
Bratislava;Prague;(48.1516988, 17.1093063);(50.0874654, 14.4212535);291.2472
Bratislava;Valencia;(48.1516988, 17.1093063);(39.4697065, -0.3763353);1699.4885
Bratislava;Bremen;(48.1516988, 17.1093063);(53.0758196, 8.8071646);802.3812
Bratislava;Porto;(48.1516988, 17.1093063);(41.1494512, -8.6107884);2170.9236
Hamburg;Rome;(53.550341, 10.000654);(41.8933203, 12.4829321);1309.179
Hamburg;Lille;(53.550341, 10.000654);(50.6365654, 3.0635282);575.0572
Hamburg;Liege;(53.550341, 10.000654);(50.6450944, 5.5736112);443.1614
Hamburg;Warsaw;(53.550341, 10.000654);(52.2337172, 21.071432235636493);758.5587
Hamburg;Paris;(53.550341, 10.000654);(48.8588897, 2.3200410217200766);747.9185
Hamburg;Lyon;(53.550341, 10.000654);(45.7578137, 4.8320114);943.0273
Hamburg;Marseille;(53.550341, 10.000654);(43.2961743, 5.3699525);1189.9889
Hamburg;Bordeaux;(53.550341, 10.000654);(44.841225, -0.5800364);1235.3496
Hamburg;Milan;(53.550341, 10.000654);(45.4641943, 9.1896346);901.2353
Hamburg;Berlin;(53.550341, 10.000654);(52.5170365, 13.3888599);254.6944
Hamburg;Madrid;(53.550341, 10.000654);(40.4167047, -3.7035825);1787.4018
Hamburg;Vienna;(53.550341, 10.000654);(48.2083537, 16.3725042);743.8643
Hamburg;Munich;(53.550341, 10.000654);(48.1371079, 11.5753822);612.2829
Hamburg;Amsterdam;(53.550341, 10.000654);(52.3727598, 4.8936041);367.2448
Hamburg;Stockholm;(53.550341, 10.000654);(59.3251172, 18.0710935);812.0226
Hamburg;Copenhagen;(53.550341, 10.000654);(55.6867243, 12.5700724);289.9676
Hamburg;Barcelona;(53.550341, 10.000654);(41.3828939, 2.1774322);1473.6254
Hamburg;Cologne;(53.550341, 10.000654);(50.938361, 6.959974);357.1486
Hamburg;Athens;(53.550341, 10.000654);(37.9839412, 23.7283052);2025.2207
Hamburg;Bucharest;(53.550341, 10.000654);(44.4361414, 26.1027202);1547.9444
Hamburg;Budapest;(53.550341, 10.000654);(47.4979937, 19.0403594);928.2328
Hamburg;Naples;(53.550341, 10.000654);(40.8358846, 14.2487679);1449.0449
Hamburg;Lisbon;(53.550341, 10.000654);(38.7077507, -9.1365919);2201.4676
Hamburg;Turin;(53.550341, 10.000654);(45.0677551, 7.6824892);958.1984
Hamburg;Hanover;(53.550341, 10.000654);(52.3744779, 9.7385532);132.0362
Hamburg;Malmö;(53.550341, 10.000654);(55.6052931, 13.0001566);299.8548
Hamburg;Helsinki;(53.550341, 10.000654);(60.1674881, 24.9427473);1167.5065
Hamburg;Prague;(53.550341, 10.000654);(50.0874654, 14.4212535);491.0931
Hamburg;Valencia;(53.550341, 10.000654);(39.4697065, -0.3763353);1751.9607
Hamburg;Bremen;(53.550341, 10.000654);(53.0758196, 8.8071646);95.4791
Hamburg;Porto;(53.550341, 10.000654);(41.1494512, -8.6107884);1958.0004
Rome;Lille;(41.8933203, 12.4829321);(50.6365654, 3.0635282);1211.1302
Rome;Liege;(41.8933203, 12.4829321);(50.6450944, 5.5736112);1107.929
Rome;Warsaw;(41.8933203, 12.4829321);(52.2337172, 21.071432235636493);1319.6796
Rome;Paris;(41.8933203, 12.4829321);(48.8588897, 2.3200410217200766);1108.5886
Rome;Lyon;(41.8933203, 12.4829321);(45.7578137, 4.8320114);749.8862
Rome;Marseille;(41.8933203, 12.4829321);(43.2961743, 5.3699525);604.0216
Rome;Bordeaux;(41.8933203, 12.4829321);(44.841225, -0.5800364);1106.8508
Rome;Milan;(41.8933203, 12.4829321);(45.4641943, 9.1896346);477.3222
Rome;Berlin;(41.8933203, 12.4829321);(52.5170365, 13.3888599);1183.0545
Rome;Madrid;(41.8933203, 12.4829321);(40.4167047, -3.7035825);1366.4467
Rome;Vienna;(41.8933203, 12.4829321);(48.2083537, 16.3725042);765.5193
Rome;Munich;(41.8933203, 12.4829321);(48.1371079, 11.5753822);697.5485
Rome;Amsterdam;(41.8933203, 12.4829321);(52.3727598, 4.8936041);1297.8466
Rome;Stockholm;(41.8933203, 12.4829321);(59.3251172, 18.0710935);1977.3389
Rome;Copenhagen;(41.8933203, 12.4829321);(55.6867243, 12.5700724);1533.9085
Rome;Barcelona;(41.8933203, 12.4829321);(41.3828939, 2.1774322);859.9884
Rome;Cologne;(41.8933203, 12.4829321);(50.938361, 6.959974);1090.6475
Rome;Athens;(41.8933203, 12.4829321);(37.9839412, 23.7283052);1053.5083
Rome;Bucharest;(41.8933203, 12.4829321);(44.4361414, 26.1027202);1141.5506
Rome;Budapest;(41.8933203, 12.4829321);(47.4979937, 19.0403594);810.5965
Rome;Naples;(41.8933203, 12.4829321);(40.8358846, 14.2487679);188.7287
Rome;Lisbon;(41.8933203, 12.4829321);(38.7077507, -9.1365919);1866.532
Rome;Turin;(41.8933203, 12.4829321);(45.0677551, 7.6824892);524.436
Rome;Hanover;(41.8933203, 12.4829321);(52.3744779, 9.7385532);1183.4477
Rome;Malmö;(41.8933203, 12.4829321);(55.6052931, 13.0001566);1525.2925
Rome;Helsinki;(41.8933203, 12.4829321);(60.1674881, 24.9427473);2204.2242
Rome;Prague;(41.8933203, 12.4829321);(50.0874654, 14.4212535);922.9972
Rome;Valencia;(41.8933203, 12.4829321);(39.4697065, -0.3763353);1118.7306
Rome;Bremen;(41.8933203, 12.4829321);(53.0758196, 8.8071646);1273.3157
Rome;Porto;(41.8933203, 12.4829321);(41.1494512, -8.6107884);1758.1663
Lille;Liege;(50.6365654, 3.0635282);(50.6450944, 5.5736112);177.5529
Lille;Warsaw;(50.6365654, 3.0635282);(52.2337172, 21.071432235636493);1261.4372
Lille;Paris;(50.6365654, 3.0635282);(48.8588897, 2.3200410217200766);204.8496
Lille;Lyon;(50.6365654, 3.0635282);(45.7578137, 4.8320114);558.1464
Lille;Marseille;(50.6365654, 3.0635282);(43.2961743, 5.3699525);834.5826
Lille;Bordeaux;(50.6365654, 3.0635282);(44.841225, -0.5800364);699.6873
Lille;Milan;(50.6365654, 3.0635282);(45.4641943, 9.1896346);733.8784
Lille;Berlin;(50.6365654, 3.0635282);(52.5170365, 13.3888599);744.9913
Lille;Madrid;(50.6365654, 3.0635282);(40.4167047, -3.7035825);1251.5675
Lille;Vienna;(50.6365654, 3.0635282);(48.2083537, 16.3725042);1001.0708
Lille;Munich;(50.6365654, 3.0635282);(48.1371079, 11.5753822);677.1062
Lille;Amsterdam;(50.6365654, 3.0635282);(52.3727598, 4.8936041);231.1954
Lille;Stockholm;(50.6365654, 3.0635282);(59.3251172, 18.0710935);1357.4387
Lille;Copenhagen;(50.6365654, 3.0635282);(55.6867243, 12.5700724);847.3082
Lille;Barcelona;(50.6365654, 3.0635282);(41.3828939, 2.1774322);1030.8249
Lille;Cologne;(50.6365654, 3.0635282);(50.938361, 6.959974);276.7793
Lille;Athens;(50.6365654, 3.0635282);(37.9839412, 23.7283052);2153.58
Lille;Bucharest;(50.6365654, 3.0635282);(44.4361414, 26.1027202);1857.0525
Lille;Budapest;(50.6365654, 3.0635282);(47.4979937, 19.0403594);1215.7651
Lille;Naples;(50.6365654, 3.0635282);(40.8358846, 14.2487679);1391.226
Lille;Lisbon;(50.6365654, 3.0635282);(38.7077507, -9.1365919);1636.4555
Lille;Turin;(50.6365654, 3.0635282);(45.0677551, 7.6824892);708.8031
Lille;Hanover;(50.6365654, 3.0635282);(52.3744779, 9.7385532);501.9357
Lille;Malmö;(50.6365654, 3.0635282);(55.6052931, 13.0001566);863.6312
Lille;Helsinki;(50.6365654, 3.0635282);(60.1674881, 24.9427473);1731.7666
Lille;Prague;(50.6365654, 3.0635282);(50.0874654, 14.4212535);809.6745
Lille;Valencia;(50.6365654, 3.0635282);(39.4697065, -0.3763353);1269.8705
Lille;Bremen;(50.6365654, 3.0635282);(53.0758196, 8.8071646);479.6218
Lille;Porto;(50.6365654, 3.0635282);(41.1494512, -8.6107884);1386.9211
Liege;Warsaw;(50.6450944, 5.5736112);(52.2337172, 21.071432235636493);1089.8197
Liege;Paris;(50.6450944, 5.5736112);(48.8588897, 2.3200410217200766);307.2646
Liege;Lyon;(50.6450944, 5.5736112);(45.7578137, 4.8320114);546.2179
Liege;Marseille;(50.6450944, 5.5736112);(43.2961743, 5.3699525);817.1268
Liege;Bordeaux;(50.6450944, 5.5736112);(44.841225, -0.5800364);792.7393
Liege;Milan;(50.6450944, 5.5736112);(45.4641943, 9.1896346);635.8256
Liege;Berlin;(50.6450944, 5.5736112);(52.5170365, 13.3888599);580.017
Liege;Madrid;(50.6450944, 5.5736112);(40.4167047, -3.7035825);1345.7935
Liege;Vienna;(50.6450944, 5.5736112);(48.2083537, 16.3725042);828.0363
Liege;Munich;(50.6450944, 5.5736112);(48.1371079, 11.5753822);517.1005
Liege;Amsterdam;(50.6450944, 5.5736112);(52.3727598, 4.8936041);197.927
Liege;Stockholm;(50.6450944, 5.5736112);(59.3251172, 18.0710935);1250.3499
Liege;Copenhagen;(50.6450944, 5.5736112);(55.6867243, 12.5700724);729.8537
Liege;Barcelona;(50.6450944, 5.5736112);(41.3828939, 2.1774322);1062.2681
Liege;Cologne;(50.6450944, 5.5736112);(50.938361, 6.959974);103.0528
Liege;Athens;(50.6450944, 5.5736112);(37.9839412, 23.7283052);2008.8628
Liege;Bucharest;(50.6450944, 5.5736112);(44.4361414, 26.1027202);1685.3976
Liege;Budapest;(50.6450944, 5.5736112);(47.4979937, 19.0403594);1042.5622
Liege;Naples;(50.6450944, 5.5736112);(40.8358846, 14.2487679);1280.3831
Liege;Lisbon;(50.6450944, 5.5736112);(38.7077507, -9.1365919);1759.8255
Liege;Turin;(50.6450944, 5.5736112);(45.0677551, 7.6824892);639.8223
Liege;Hanover;(50.6450944, 5.5736112);(52.3744779, 9.7385532);347.2342
Liege;Malmö;(50.6450944, 5.5736112);(55.6052931, 13.0001566);742.0781
Liege;Helsinki;(50.6450944, 5.5736112);(60.1674881, 24.9427473);1610.6679
Liege;Prague;(50.6450944, 5.5736112);(50.0874654, 14.4212535);632.1718
Liege;Valencia;(50.6450944, 5.5736112);(39.4697065, -0.3763353);1326.3454
Liege;Bremen;(50.6450944, 5.5736112);(53.0758196, 8.8071646);350.31
Liege;Porto;(50.6450944, 5.5736112);(41.1494512, -8.6107884);1520.1454
Warsaw;Paris;(52.2337172, 21.071432235636493);(48.8588897, 2.3200410217200766);1376.6802
Warsaw;Lyon;(52.2337172, 21.071432235636493);(45.7578137, 4.8320114);1384.9215
Warsaw;Marseille;(52.2337172, 21.071432235636493);(43.2961743, 5.3699525);1534.6302
Warsaw;Bordeaux;(52.2337172, 21.071432235636493);(44.841225, -0.5800364);1788.2674
Warsaw;Milan;(52.2337172, 21.071432235636493);(45.4641943, 9.1896346);1149.4642
Warsaw;Berlin;(52.2337172, 21.071432235636493);(52.5170365, 13.3888599);523.8994
Warsaw;Madrid;(52.2337172, 21.071432235636493);(40.4167047, -3.7035825);2297.8442
Warsaw;Vienna;(52.2337172, 21.071432235636493);(48.2083537, 16.3725042);559.1571
Warsaw;Munich;(52.2337172, 21.071432235636493);(48.1371079, 11.5753822);816.0497
Warsaw;Amsterdam;(52.2337172, 21.071432235636493);(52.3727598, 4.8936041);1101.3447
Warsaw;Stockholm;(52.2337172, 21.071432235636493);(59.3251172, 18.0710935);811.4601
Warsaw;Copenhagen;(52.2337172, 21.071432235636493);(55.6867243, 12.5700724);676.8236
Warsaw;Barcelona;(52.2337172, 21.071432235636493);(41.3828939, 2.1774322);1870.1057
Warsaw;Cologne;(52.2337172, 21.071432235636493);(50.938361, 6.959974);986.9986
Warsaw;Athens;(52.2337172, 21.071432235636493);(37.9839412, 23.7283052);1597.0905
Warsaw;Bucharest;(52.2337172, 21.071432235636493);(44.4361414, 26.1027202);943.3275
Warsaw;Budapest;(52.2337172, 21.071432235636493);(47.4979937, 19.0403594);546.5441
Warsaw;Naples;(52.2337172, 21.071432235636493);(40.8358846, 14.2487679);1369.3514
Warsaw;Lisbon;(52.2337172, 21.071432235636493);(38.7077507, -9.1365919);2768.9663
Warsaw;Turin;(52.2337172, 21.071432235636493);(45.0677551, 7.6824892);1264.7321
Warsaw;Hanover;(52.2337172, 21.071432235636493);(52.3744779, 9.7385532);772.4025
Warsaw;Malmö;(52.2337172, 21.071432235636493);(55.6052931, 13.0001566);648.9997
Warsaw;Helsinki;(52.2337172, 21.071432235636493);(60.1674881, 24.9427473);915.0844
Warsaw;Prague;(52.2337172, 21.071432235636493);(50.0874654, 14.4212535);522.6342
Warsaw;Valencia;(52.2337172, 21.071432235636493);(39.4697065, -0.3763353);2173.2031
Warsaw;Bremen;(52.2337172, 21.071432235636493);(53.0758196, 8.8071646);834.173
Warsaw;Porto;(52.2337172, 21.071432235636493);(41.1494512, -8.6107884);2557.6066
Paris;Lyon;(48.8588897, 2.3200410217200766);(45.7578137, 4.8320114);393.5762
Paris;Marseille;(48.8588897, 2.3200410217200766);(43.2961743, 5.3699525);661.6477
Paris;Bordeaux;(48.8588897, 2.3200410217200766);(44.841225, -0.5800364);498.3086
Paris;Milan;(48.8588897, 2.3200410217200766);(45.4641943, 9.1896346);642.8327
Paris;Berlin;(48.8588897, 2.3200410217200766);(52.5170365, 13.3888599);880.4355
Paris;Madrid;(48.8588897, 2.3200410217200766);(40.4167047, -3.7035825);1052.0368
Paris;Vienna;(48.8588897, 2.3200410217200766);(48.2083537, 16.3725042);1038.8408
Paris;Munich;(48.8588897, 2.3200410217200766);(48.1371079, 11.5753822);688.2662
Paris;Amsterdam;(48.8588897, 2.3200410217200766);(52.3727598, 4.8936041);431.1714
Paris;Stockholm;(48.8588897, 2.3200410217200766);(59.3251172, 18.0710935);1547.574
Paris;Copenhagen;(48.8588897, 2.3200410217200766);(55.6867243, 12.5700724);1030.7479
Paris;Barcelona;(48.8588897, 2.3200410217200766);(41.3828939, 2.1774322);830.9137
Paris;Cologne;(48.8588897, 2.3200410217200766);(50.938361, 6.959974);405.6203
Paris;Athens;(48.8588897, 2.3200410217200766);(37.9839412, 23.7283052);2101.2943
Paris;Bucharest;(48.8588897, 2.3200410217200766);(44.4361414, 26.1027202);1877.2597
Paris;Budapest;(48.8588897, 2.3200410217200766);(47.4979937, 19.0403594);1250.0463
Paris;Naples;(48.8588897, 2.3200410217200766);(40.8358846, 14.2487679);1294.9374
Paris;Lisbon;(48.8588897, 2.3200410217200766);(38.7077507, -9.1365919);1453.5704
Paris;Turin;(48.8588897, 2.3200410217200766);(45.0677551, 7.6824892);586.3959
Paris;Hanover;(48.8588897, 2.3200410217200766);(52.3744779, 9.7385532);654.1463
Paris;Malmö;(48.8588897, 2.3200410217200766);(55.6052931, 13.0001566);1044.6582
Paris;Helsinki;(48.8588897, 2.3200410217200766);(60.1674881, 24.9427473);1914.3578
Paris;Prague;(48.8588897, 2.3200410217200766);(50.0874654, 14.4212535);886.6124
Paris;Valencia;(48.8588897, 2.3200410217200766);(39.4697065, -0.3763353);1065.1529
Paris;Bremen;(48.8588897, 2.3200410217200766);(53.0758196, 8.8071646);653.5159
Paris;Porto;(48.8588897, 2.3200410217200766);(41.1494512, -8.6107884);1212.8973
Lyon;Marseille;(45.7578137, 4.8320114);(43.2961743, 5.3699525);276.8639
Lyon;Bordeaux;(45.7578137, 4.8320114);(44.841225, -0.5800364);436.45
Lyon;Milan;(45.7578137, 4.8320114);(45.4641943, 9.1896346);341.4333
Lyon;Berlin;(45.7578137, 4.8320114);(52.5170365, 13.3888599);975.8332
Lyon;Madrid;(45.7578137, 4.8320114);(40.4167047, -3.7035825);912.9311
Lyon;Vienna;(45.7578137, 4.8320114);(48.2083537, 16.3725042);918.2506
Lyon;Munich;(45.7578137, 4.8320114);(48.1371079, 11.5753822);577.2241
Lyon;Amsterdam;(45.7578137, 4.8320114);(52.3727598, 4.8936041);735.6674
